11,0,1,2,3,4,5,6,7
6,../../Dataset/Train/com.cake.browser,Cake Web Browser _1,Cake Web Browser _1_0,Cake Web Browser _1_0_5,train,do you keep the data of mine and upload to your company," We collect, store and use your data in order to operate our business and to provide our products and services to you.",Relevant
166,../../Dataset/Train/com.cake.browser,Cake Web Browser _1,Cake Web Browser _1_2,Cake Web Browser _1_2_5,train,do you know and use my location," We collect, store and use your data in order to operate our business and to provide our products and services to you.",Relevant
177,../../Dataset/Train/com.cake.browser,Cake Web Browser _1,Cake Web Browser _1_2,Cake Web Browser _1_2_16,train,do you know and use my location," In normal browsing mode, the Cake browser may store your browsing history (URLs of pages that you visit, your IP address, a cache of text, images and other resources from those pages) on your local device, in an anonymous fashion that is not tied to your identity.",Relevant
187,../../Dataset/Train/com.cake.browser,Cake Web Browser _1,Cake Web Browser _1_2,Cake Web Browser _1_2_26,train,do you know and use my location,"We may also collect your geo-location information in the future, but with your consent.",Relevant
194,../../Dataset/Train/com.cake.browser,Cake Web Browser _1,Cake Web Browser _1_2,Cake Web Browser _1_2_33,train,do you know and use my location,"We may ask for app permissions (for example, we may ask to send you push notifications or for location information) in order to enhance your experience, but you can choose whether or not to grant those permissions.",Relevant
301,../../Dataset/Train/com.cake.browser,Cake Web Browser _1,Cake Web Browser _1_3,Cake Web Browser _1_3_60,train,do you sell my data, We may use and share non-Personal Information to the extent allowed by law.,Relevant
302,../../Dataset/Train/com.cake.browser,Cake Web Browser _1,Cake Web Browser _1_3,Cake Web Browser _1_3_61,train,do you sell my data,"If we collect Personal Information, we will not provide non-masked or non-obscured Personal Information to third parties, except:",Relevant
303,../../Dataset/Train/com.cake.browser,Cake Web Browser _1,Cake Web Browser _1_3,Cake Web Browser _1_3_62,train,do you sell my data," To government bodies and law enforcement agencies to comply with the law, for example in judicial proceedings, by court order or other legal process",Relevant
304,../../Dataset/Train/com.cake.browser,Cake Web Browser _1,Cake Web Browser _1_3,Cake Web Browser _1_3_63,train,do you sell my data," To third parties (including professional advisors) to enforce or defend our legal rights, including our terms and conditions, and investigate violations thereof",Relevant
305,../../Dataset/Train/com.cake.browser,Cake Web Browser _1,Cake Web Browser _1_3,Cake Web Browser _1_3_64,train,do you sell my data," To a third-party purchaser or seller (including professional advisors) in connection with a corporate event such as a merger, business acquisition or insolvency situation",Relevant
