11,0,1,2,3,4,5,6,7
4043,../../Dataset/Train/com.cleanmaster.mguard,Clean Master_2,Clean Master_2_0,Clean Master_2_0_42,train,will you use my data for advertising?,"You can choose not to share your information with third parties for marketing purposes, or from allowing us to use your personal information for any purpose that is incompatible with the purposes for which we originally collected it or subsequently obtained your consent.",Relevant
4046,../../Dataset/Train/com.cleanmaster.mguard,Clean Master_2,Clean Master_2_0,Clean Master_2_0_45,train,will you use my data for advertising?,We require certain information from you in order to provide you with the Services you requested.,Relevant
4048,../../Dataset/Train/com.cleanmaster.mguard,Clean Master_2,Clean Master_2_0,Clean Master_2_0_47,train,will you use my data for advertising?,We share this information with our service providers or partners to the extent necessary to continue to provide you with the Services.,Relevant
4064,../../Dataset/Train/com.cleanmaster.mguard,Clean Master_2,Clean Master_2_0,Clean Master_2_0_63,train,will you use my data for advertising?,To maintain legal and regulatory compliance.,Relevant
4065,../../Dataset/Train/com.cleanmaster.mguard,Clean Master_2,Clean Master_2_0,Clean Master_2_0_64,train,will you use my data for advertising?,"We process your personal information to pay our taxes or fulfill our other business obligations, and/or to manage risk as required under applicable law.",Relevant
4066,../../Dataset/Train/com.cleanmaster.mguard,Clean Master_2,Clean Master_2_0,Clean Master_2_0_65,train,will you use my data for advertising?,We cannot perform the Services in accordance with our legal and regulatory requirements without processing your personal information for such purposes.,Relevant
4078,../../Dataset/Train/com.cleanmaster.mguard,Clean Master_2,Clean Master_2_0,Clean Master_2_0_77,train,will you use my data for advertising?,To engage in marketing activities.,Relevant
4079,../../Dataset/Train/com.cleanmaster.mguard,Clean Master_2,Clean Master_2_0,Clean Master_2_0_78,train,will you use my data for advertising?,"We may process your contact information or information about your interactions on our Services to: send you marketing communications; deliver targeted marketing; inform you about events, webinars, or other materials, including those of our partners; and, keep you up-to-date with our relevant products and Services.",Relevant
4085,../../Dataset/Train/com.cleanmaster.mguard,Clean Master_2,Clean Master_2_0,Clean Master_2_0_84,train,will you use my data for advertising?,We may share your personal information with third parties in the following circumstances:,Relevant
4087,../../Dataset/Train/com.cleanmaster.mguard,Clean Master_2,Clean Master_2_0,Clean Master_2_0_86,train,will you use my data for advertising?,"We disclose your personal information to our employees, contractors, affiliates, distributors, dealers, vendors and suppliers (Service Providers) who provide certain services to us or on our behalf, such as operating and supporting the Services, analyzing data, or performing marketing or consulting services.",Relevant
4090,../../Dataset/Train/com.cleanmaster.mguard,Clean Master_2,Clean Master_2_0,Clean Master_2_0_89,train,will you use my data for advertising?,B.Response to Subpoenas or Court Orders or to Protect Rights and to Comply with Our Policies,Relevant
