11,0,1,2,3,4,5,6,7
152111,../../Dataset/Train/epic.mychart.android,MyChart _23,MyChart _23_0,MyChart _23_0_10,train,can mychart see my personal data?,"When you communicate with us or access Our Website and servers through a browser, application, or other client, our servers automatically collect and record information.",Relevant
152112,../../Dataset/Train/epic.mychart.android,MyChart _23,MyChart _23_0,MyChart _23_0_11,train,can mychart see my personal data?,"In most cases, this information is generated by various tracking technologies, such as ""cookies,"" ""flash LSOs,"" ""web beacons"" or ""clear GIFs.""",Relevant
152114,../../Dataset/Train/epic.mychart.android,MyChart _23,MyChart _23_0,MyChart _23_0_13,train,can mychart see my personal data?,Your browser or device may tell us:,Relevant
152115,../../Dataset/Train/epic.mychart.android,MyChart _23,MyChart _23_0,MyChart _23_0_14,train,can mychart see my personal data?,Your browser type;,Relevant
152116,../../Dataset/Train/epic.mychart.android,MyChart _23,MyChart _23_0,MyChart _23_0_15,train,can mychart see my personal data?,Language preference;,Relevant
152117,../../Dataset/Train/epic.mychart.android,MyChart _23,MyChart _23_0,MyChart _23_0_16,train,can mychart see my personal data?,The Internet Protocol (IP) address (which may tell us generally where you are located); and,Relevant
152118,../../Dataset/Train/epic.mychart.android,MyChart _23,MyChart _23_0,MyChart _23_0_17,train,can mychart see my personal data?,The type of device or system you used.,Relevant
152119,../../Dataset/Train/epic.mychart.android,MyChart _23,MyChart _23_0,MyChart _23_0_18,train,can mychart see my personal data?,Your browser may also tell us information such as:,Relevant
152120,../../Dataset/Train/epic.mychart.android,MyChart _23,MyChart _23_0,MyChart _23_0_19,train,can mychart see my personal data?,The time and date of your request;,Relevant
152121,../../Dataset/Train/epic.mychart.android,MyChart _23,MyChart _23_0,MyChart _23_0_20,train,can mychart see my personal data?,The page that led you to Our Website; and,Relevant
152122,../../Dataset/Train/epic.mychart.android,MyChart _23,MyChart _23_0,MyChart _23_0_21,train,can mychart see my personal data?,"The search terms you typed into a search engine that led you to Our Website, if applicable.",Relevant
152135,../../Dataset/Train/epic.mychart.android,MyChart _23,MyChart _23_0,MyChart _23_0_34,train,can mychart see my personal data?,"When you contact Epic through our Careers Site to inquire about career opportunities at Epic, we may ask you to provide us with certain information so that we can evaluate you as a candidate and meet certain legal obligations.",Relevant
152136,../../Dataset/Train/epic.mychart.android,MyChart _23,MyChart _23_0,MyChart _23_0_35,train,can mychart see my personal data?,The personal information you provide to our Careers Site as part of the application process is in addition to the information gathered through Our Website and may include:,Relevant
152137,../../Dataset/Train/epic.mychart.android,MyChart _23,MyChart _23_0,MyChart _23_0_36,train,can mychart see my personal data?,"Demographic information, including race, gender, veteran status, and disability status;",Relevant
152138,../../Dataset/Train/epic.mychart.android,MyChart _23,MyChart _23_0,MyChart _23_0_37,train,can mychart see my personal data?,Contact information;,Relevant
152139,../../Dataset/Train/epic.mychart.android,MyChart _23,MyChart _23_0,MyChart _23_0_38,train,can mychart see my personal data?,"Details of your qualifications, skills, experience, and education;",Relevant
152140,../../Dataset/Train/epic.mychart.android,MyChart _23,MyChart _23_0,MyChart _23_0_39,train,can mychart see my personal data?,Information about your employment history and salary;,Relevant
152141,../../Dataset/Train/epic.mychart.android,MyChart _23,MyChart _23_0,MyChart _23_0_40,train,can mychart see my personal data?,Whether you have a disability for which we can make reasonable accommodations for during the recruitment process; and,Relevant
152142,../../Dataset/Train/epic.mychart.android,MyChart _23,MyChart _23_0,MyChart _23_0_41,train,can mychart see my personal data?,"Information about your legal ability to work in the United States, the European Union, or another region as appropriate for the position to which you apply.",Relevant
152199,../../Dataset/Train/epic.mychart.android,MyChart _23,MyChart _23_0,MyChart _23_0_98,train,can mychart see my personal data?,Epic does not sell or license any information that it may collect from you from using our Applications.,Relevant
152201,../../Dataset/Train/epic.mychart.android,MyChart _23,MyChart _23_0,MyChart _23_0_100,train,can mychart see my personal data?,Epic attempts to minimize the amount of your personal or health information stored or retained on your device.,Relevant
152202,../../Dataset/Train/epic.mychart.android,MyChart _23,MyChart _23_0,MyChart _23_0_101,train,can mychart see my personal data?,"Nevertheless, our Applications may:",Relevant
152203,../../Dataset/Train/epic.mychart.android,MyChart _23,MyChart _23_0,MyChart _23_0_102,train,can mychart see my personal data?,Store a copy of a picture on your device if you choose to add a picture to your profile.,Relevant
152204,../../Dataset/Train/epic.mychart.android,MyChart _23,MyChart _23_0,MyChart _23_0_103,train,can mychart see my personal data?,"Create encrypted identifiers to identify target healthcare providers for HealthKit data, if you are using HealthKit.",Relevant
152205,../../Dataset/Train/epic.mychart.android,MyChart _23,MyChart _23_0,MyChart _23_0_104,train,can mychart see my personal data?,Temporarily store your personal information in memory or on the device while you use our Applications.,Relevant
152206,../../Dataset/Train/epic.mychart.android,MyChart _23,MyChart _23_0,MyChart _23_0_105,train,can mychart see my personal data?,Share some limited amount of information for purposes of troubleshooting and error correction directly or indirectly with Epic with your consent.,Relevant
152207,../../Dataset/Train/epic.mychart.android,MyChart _23,MyChart _23_0,MyChart _23_0_106,train,can mychart see my personal data?,"In addition, in order to provide you certain features, our Applications may request information from servers and systems owned or operated by Epic and those servers and systems may record technical information about that request such as an IP address.",Relevant
