11,0,1,2,3,4,5,6,7
38175,../../Dataset/Train/com.goodreads,Goodreads _6,Goodreads _6_3,Goodreads _6_3_60,train,is this a safe app?," Goodreads uses commercially reasonable physical, managerial, and technical safeguards to preserve the integrity and security of your personal information.",Relevant
38176,../../Dataset/Train/com.goodreads,Goodreads _6,Goodreads _6_3,Goodreads _6_3_61,train,is this a safe app?,"We cannot, however, ensure or warrant the security of any information you transmit to Goodreads and you do so at your own risk.",Relevant
38177,../../Dataset/Train/com.goodreads,Goodreads _6,Goodreads _6_3,Goodreads _6_3_62,train,is this a safe app?,"Once we receive your transmission of information, Goodreads makes commercially reasonable efforts to ensure the security of our systems.",Relevant
38178,../../Dataset/Train/com.goodreads,Goodreads _6,Goodreads _6_3,Goodreads _6_3_63,train,is this a safe app?,"However, please note that this is not a guarantee that such information may not be accessed, disclosed, altered, or destroyed by breach of any of our physical, technical, or managerial safeguards.",Relevant
38179,../../Dataset/Train/com.goodreads,Goodreads _6,Goodreads _6_3,Goodreads _6_3_64,train,is this a safe app?," To protect your privacy and security, we take reasonable steps (such as requesting a unique password) to verify your identity before granting you access to your account.",Relevant
38180,../../Dataset/Train/com.goodreads,Goodreads _6,Goodreads _6_3,Goodreads _6_3_65,train,is this a safe app?,"You are responsible for maintaining the secrecy of your unique password and account information, and for controlling access to your email communications from Goodreads, at all times.",Relevant
38245,../../Dataset/Train/com.goodreads,Goodreads _6,Goodreads _6_4,Goodreads _6_4_42,train,what will this app share?, Personally Identifiable Information: Goodreads will not rent or sell your personally identifiable information to others.,Relevant
38246,../../Dataset/Train/com.goodreads,Goodreads _6,Goodreads _6_4,Goodreads _6_4_43,train,what will this app share?,Goodreads may share your personally identifiable information with third parties solely for the purpose of providing services to you.,Relevant
38252,../../Dataset/Train/com.goodreads,Goodreads _6,Goodreads _6_4,Goodreads _6_4_49,train,what will this app share?," Except as otherwise described in this privacy statement, Goodreads will not disclose personal information to any third party unless required to do so by law or subpoena or if we believe that such action is necessary to (a) conform to the law, comply with legal process served on us or our affiliates, or investigate, prevent, or take action regarding suspected or actual illegal activities; (b) to enforce our Terms of Use, take precautions against liability, to investigate and defend ourselves against any third-party claims or allegations, to assist government enforcement agencies, or to protect the security or integrity of our site; and (c) to exercise or protect the rights, property, or personal safety of Goodreads, our users or others.",Relevant
38253,../../Dataset/Train/com.goodreads,Goodreads _6,Goodreads _6_4,Goodreads _6_4_50,train,what will this app share?," Non-Personally Identifiable Information: We may share non-personally identifiable information (such as anonymous usage data, referring/exit pages and URLs, platform types, number of clicks, etc.)",Relevant
38254,../../Dataset/Train/com.goodreads,Goodreads _6,Goodreads _6_4,Goodreads _6_4_51,train,what will this app share?,with interested third parties to help them understand the usage patterns for certain Goodreads services.,Relevant
38255,../../Dataset/Train/com.goodreads,Goodreads _6,Goodreads _6_4,Goodreads _6_4_52,train,what will this app share?," Goodreads allows other companies, called third-party ad servers or ad networks, to serve advertisements on the Goodreads site.",Relevant
38258,../../Dataset/Train/com.goodreads,Goodreads _6,Goodreads _6_4,Goodreads _6_4_55,train,what will this app share?,"They may also use other technologies (such as cookies, JavaScript, or Web Beacons) to measure the effectiveness of their advertisements and to personalize the advertising content.",Relevant
38351,../../Dataset/Train/com.goodreads,Goodreads _6,Goodreads _6_5,Goodreads _6_5_60,train,how secure is my data on this app," Goodreads uses commercially reasonable physical, managerial, and technical safeguards to preserve the integrity and security of your personal information.",Relevant
38352,../../Dataset/Train/com.goodreads,Goodreads _6,Goodreads _6_5,Goodreads _6_5_61,train,how secure is my data on this app,"We cannot, however, ensure or warrant the security of any information you transmit to Goodreads and you do so at your own risk.",Relevant
38353,../../Dataset/Train/com.goodreads,Goodreads _6,Goodreads _6_5,Goodreads _6_5_62,train,how secure is my data on this app,"Once we receive your transmission of information, Goodreads makes commercially reasonable efforts to ensure the security of our systems.",Relevant
38354,../../Dataset/Train/com.goodreads,Goodreads _6,Goodreads _6_5,Goodreads _6_5_63,train,how secure is my data on this app,"However, please note that this is not a guarantee that such information may not be accessed, disclosed, altered, or destroyed by breach of any of our physical, technical, or managerial safeguards.",Relevant
38355,../../Dataset/Train/com.goodreads,Goodreads _6,Goodreads _6_5,Goodreads _6_5_64,train,how secure is my data on this app," To protect your privacy and security, we take reasonable steps (such as requesting a unique password) to verify your identity before granting you access to your account.",Relevant
38356,../../Dataset/Train/com.goodreads,Goodreads _6,Goodreads _6_5,Goodreads _6_5_65,train,how secure is my data on this app,"You are responsible for maintaining the secrecy of your unique password and account information, and for controlling access to your email communications from Goodreads, at all times.",Relevant
38527,../../Dataset/Train/com.goodreads,Goodreads _6,Goodreads _6_7,Goodreads _6_7_60,train,has this company had data breaches in the past?," Goodreads uses commercially reasonable physical, managerial, and technical safeguards to preserve the integrity and security of your personal information.",Relevant
38528,../../Dataset/Train/com.goodreads,Goodreads _6,Goodreads _6_7,Goodreads _6_7_61,train,has this company had data breaches in the past?,"We cannot, however, ensure or warrant the security of any information you transmit to Goodreads and you do so at your own risk.",Relevant
38529,../../Dataset/Train/com.goodreads,Goodreads _6,Goodreads _6_7,Goodreads _6_7_62,train,has this company had data breaches in the past?,"Once we receive your transmission of information, Goodreads makes commercially reasonable efforts to ensure the security of our systems.",Relevant
38530,../../Dataset/Train/com.goodreads,Goodreads _6,Goodreads _6_7,Goodreads _6_7_63,train,has this company had data breaches in the past?,"However, please note that this is not a guarantee that such information may not be accessed, disclosed, altered, or destroyed by breach of any of our physical, technical, or managerial safeguards.",Relevant
38531,../../Dataset/Train/com.goodreads,Goodreads _6,Goodreads _6_7,Goodreads _6_7_64,train,has this company had data breaches in the past?," To protect your privacy and security, we take reasonable steps (such as requesting a unique password) to verify your identity before granting you access to your account.",Relevant
38532,../../Dataset/Train/com.goodreads,Goodreads _6,Goodreads _6_7,Goodreads _6_7_65,train,has this company had data breaches in the past?,"You are responsible for maintaining the secrecy of your unique password and account information, and for controlling access to your email communications from Goodreads, at all times.",Relevant
38597,../../Dataset/Train/com.goodreads,Goodreads _6,Goodreads _6_8,Goodreads _6_8_42,train,do they sell my data?, Personally Identifiable Information: Goodreads will not rent or sell your personally identifiable information to others.,Relevant
38605,../../Dataset/Train/com.goodreads,Goodreads _6,Goodreads _6_8,Goodreads _6_8_50,train,do they sell my data?," Non-Personally Identifiable Information: We may share non-personally identifiable information (such as anonymous usage data, referring/exit pages and URLs, platform types, number of clicks, etc.)",Relevant
38606,../../Dataset/Train/com.goodreads,Goodreads _6,Goodreads _6_8,Goodreads _6_8_51,train,do they sell my data?,with interested third parties to help them understand the usage patterns for certain Goodreads services.,Relevant
38607,../../Dataset/Train/com.goodreads,Goodreads _6,Goodreads _6_8,Goodreads _6_8_52,train,do they sell my data?," Goodreads allows other companies, called third-party ad servers or ad networks, to serve advertisements on the Goodreads site.",Relevant
38608,../../Dataset/Train/com.goodreads,Goodreads _6,Goodreads _6_8,Goodreads _6_8_53,train,do they sell my data?,"These third-party ad servers or ad networks use technology to send, directly to your browser, the advertisements and links that appear on Goodreads.",Relevant
38609,../../Dataset/Train/com.goodreads,Goodreads _6,Goodreads _6_8,Goodreads _6_8_54,train,do they sell my data?,They automatically receive your IP address when this happens.,Relevant
38668,../../Dataset/Train/com.goodreads,Goodreads _6,Goodreads _6_9,Goodreads _6_9_25,train,can i remove all my data if i choose not to use this app again?,"If you remove User Content, copies may remain viewable in cached and archived pages or if other users have copied or stored your User Content.",Relevant
38670,../../Dataset/Train/com.goodreads,Goodreads _6,Goodreads _6_9,Goodreads _6_9_27,train,can i remove all my data if i choose not to use this app again?,"However, even if you have deleted the message from your Goodreads inbox or outbox, copies of the message may remain viewable in cached and archived pages or if other users have copied or stored the message.",Relevant
38754,../../Dataset/Train/com.goodreads,Goodreads _6,Goodreads _6_10,Goodreads _6_10_23,train,will anyone be able to see my book purchasing history?," Any personal information or content that you voluntarily disclose for posting to the Service (for instance, in User Content you post) becomes available to the public via the Service and our business partners.",Relevant
38755,../../Dataset/Train/com.goodreads,Goodreads _6,Goodreads _6_10,Goodreads _6_10_24,train,will anyone be able to see my book purchasing history?,"User Content includes, but is not limited to, reviews, comments, and trivia questions.",Relevant
38822,../../Dataset/Train/com.goodreads,Goodreads _6,Goodreads _6_11,Goodreads _6_11_3,train,can i hide my ratings?,"You can modify, delete, and set your privacy setting for this information any time in the My Account section of the site after you have signed in using your personal password.",Relevant
38842,../../Dataset/Train/com.goodreads,Goodreads _6,Goodreads _6_11,Goodreads _6_11_23,train,can i hide my ratings?," Any personal information or content that you voluntarily disclose for posting to the Service (for instance, in User Content you post) becomes available to the public via the Service and our business partners.",Relevant
38843,../../Dataset/Train/com.goodreads,Goodreads _6,Goodreads _6_11,Goodreads _6_11_24,train,can i hide my ratings?,"User Content includes, but is not limited to, reviews, comments, and trivia questions.",Relevant
38910,../../Dataset/Train/com.goodreads,Goodreads _6,Goodreads _6_12,Goodreads _6_12_3,train,can i hide my library?,"You can modify, delete, and set your privacy setting for this information any time in the My Account section of the site after you have signed in using your personal password.",Relevant
38930,../../Dataset/Train/com.goodreads,Goodreads _6,Goodreads _6_12,Goodreads _6_12_23,train,can i hide my library?," Any personal information or content that you voluntarily disclose for posting to the Service (for instance, in User Content you post) becomes available to the public via the Service and our business partners.",Relevant
38931,../../Dataset/Train/com.goodreads,Goodreads _6,Goodreads _6_12,Goodreads _6_12_24,train,can i hide my library?,"User Content includes, but is not limited to, reviews, comments, and trivia questions.",Relevant
39194,../../Dataset/Train/com.goodreads,Goodreads _6,Goodreads _6_15,Goodreads _6_15_23,train,would it share my reading history?," Any personal information or content that you voluntarily disclose for posting to the Service (for instance, in User Content you post) becomes available to the public via the Service and our business partners.",Relevant
