11,0,1,2,3,4,5,6,7
75972,../../Dataset/Train/com.oristats.habitbull,Habit Tracker _11,Habit Tracker _11_2,Habit Tracker _11_2_9,train,does this app store personal information anywhere but on my device?, To quickly process your transactions.,Relevant
76038,../../Dataset/Train/com.oristats.habitbull,Habit Tracker _11,Habit Tracker _11_3,Habit Tracker _11_3_19,train,does this app transmit any personal data for sale or analysis by someone else?,Google Analytics) might use cookies to gather information about people using our sites and apps.,Relevant
76039,../../Dataset/Train/com.oristats.habitbull,Habit Tracker _11,Habit Tracker _11_3,Habit Tracker _11_3_20,train,does this app transmit any personal data for sale or analysis by someone else?,"You can choose to have your computer warn you each time a cookie is being sent, or you can choose to turn off all cookies.",Relevant
76040,../../Dataset/Train/com.oristats.habitbull,Habit Tracker _11,Habit Tracker _11_3,Habit Tracker _11_3_21,train,does this app transmit any personal data for sale or analysis by someone else?,You do this through your browser (like Internet Explorer) settings.,Relevant
76041,../../Dataset/Train/com.oristats.habitbull,Habit Tracker _11,Habit Tracker _11_3,Habit Tracker _11_3_22,train,does this app transmit any personal data for sale or analysis by someone else?,"Each browser is a little different, so look at your browsers Help menu to learn the correct way to modify your cookies.",Relevant
76196,../../Dataset/Train/com.oristats.habitbull,Habit Tracker _11,Habit Tracker _11_6,Habit Tracker _11_6_9,train,where is data stored?, To quickly process your transactions.,Relevant
76252,../../Dataset/Train/com.oristats.habitbull,Habit Tracker _11,Habit Tracker _11_7,Habit Tracker _11_7_9,train,how secure is my stored data?, To quickly process your transactions.,Relevant
76302,../../Dataset/Train/com.oristats.habitbull,Habit Tracker _11,Habit Tracker _11_8,Habit Tracker _11_8_3,train,what personal information does the app need?,"When ordering or registering on our site, as appropriate, you may be asked to enter your name, email address or other details to help you with your experience.",Relevant
76361,../../Dataset/Train/com.oristats.habitbull,Habit Tracker _11,Habit Tracker _11_9,Habit Tracker _11_9_6,train,what features of my phone does the app need access to?,"We may use the information we collect from you when you register, make a purchase, sign up for our newsletter, respond to a survey or marketing communication, surf the website, or use certain other site features in the following ways:",Relevant
76542,../../Dataset/Train/com.oristats.habitbull,Habit Tracker _11,Habit Tracker _11_12,Habit Tracker _11_12_19,train,can any one access my private information collected by the app?,Google Analytics) might use cookies to gather information about people using our sites and apps.,Relevant
76543,../../Dataset/Train/com.oristats.habitbull,Habit Tracker _11,Habit Tracker _11_12,Habit Tracker _11_12_20,train,can any one access my private information collected by the app?,"You can choose to have your computer warn you each time a cookie is being sent, or you can choose to turn off all cookies.",Relevant
76544,../../Dataset/Train/com.oristats.habitbull,Habit Tracker _11,Habit Tracker _11_12,Habit Tracker _11_12_21,train,can any one access my private information collected by the app?,You do this through your browser (like Internet Explorer) settings.,Relevant
76545,../../Dataset/Train/com.oristats.habitbull,Habit Tracker _11,Habit Tracker _11_12,Habit Tracker _11_12_22,train,can any one access my private information collected by the app?,"Each browser is a little different, so look at your browsers Help menu to learn the correct way to modify your cookies.",Relevant
76588,../../Dataset/Train/com.oristats.habitbull,Habit Tracker _11,Habit Tracker _11_13,Habit Tracker _11_13_9,train,how do i ensure protection of information?, To quickly process your transactions.,Relevant
76589,../../Dataset/Train/com.oristats.habitbull,Habit Tracker _11,Habit Tracker _11_13,Habit Tracker _11_13_10,train,how do i ensure protection of information?, To send periodic emails regarding your order or other products and services.,Relevant
76590,../../Dataset/Train/com.oristats.habitbull,Habit Tracker _11,Habit Tracker _11_13,Habit Tracker _11_13_11,train,how do i ensure protection of information?,We do not use vulnerability scanning and/or scanning to PCI standards.,Relevant
76591,../../Dataset/Train/com.oristats.habitbull,Habit Tracker _11,Habit Tracker _11_13,Habit Tracker _11_13_12,train,how do i ensure protection of information?,We do not use Malware Scanning.,Relevant
76694,../../Dataset/Train/com.oristats.habitbull,Habit Tracker _11,Habit Tracker _11_15,Habit Tracker _11_15_3,train,what info are they taking from my phone?,"When ordering or registering on our site, as appropriate, you may be asked to enter your name, email address or other details to help you with your experience.",Relevant
76862,../../Dataset/Train/com.oristats.habitbull,Habit Tracker _11,Habit Tracker _11_18,Habit Tracker _11_18_3,train,who is getting all of this info?,"When ordering or registering on our site, as appropriate, you may be asked to enter your name, email address or other details to help you with your experience.",Relevant
76878,../../Dataset/Train/com.oristats.habitbull,Habit Tracker _11,Habit Tracker _11_18,Habit Tracker _11_18_19,train,who is getting all of this info?,Google Analytics) might use cookies to gather information about people using our sites and apps.,Relevant
76879,../../Dataset/Train/com.oristats.habitbull,Habit Tracker _11,Habit Tracker _11_18,Habit Tracker _11_18_20,train,who is getting all of this info?,"You can choose to have your computer warn you each time a cookie is being sent, or you can choose to turn off all cookies.",Relevant
76880,../../Dataset/Train/com.oristats.habitbull,Habit Tracker _11,Habit Tracker _11_18,Habit Tracker _11_18_21,train,who is getting all of this info?,You do this through your browser (like Internet Explorer) settings.,Relevant
76881,../../Dataset/Train/com.oristats.habitbull,Habit Tracker _11,Habit Tracker _11_18,Habit Tracker _11_18_22,train,who is getting all of this info?,"Each browser is a little different, so look at your browsers Help menu to learn the correct way to modify your cookies.",Relevant
76924,../../Dataset/Train/com.oristats.habitbull,Habit Tracker _11,Habit Tracker _11_19,Habit Tracker _11_19_9,train,is this info stored on a safe server?, To quickly process your transactions.,Relevant
77198,../../Dataset/Train/com.oristats.habitbull,Habit Tracker _11,Habit Tracker _11_24,Habit Tracker _11_24_3,train,does this app store personal data,"When ordering or registering on our site, as appropriate, you may be asked to enter your name, email address or other details to help you with your experience.",Relevant
77372,../../Dataset/Train/com.oristats.habitbull,Habit Tracker _11,Habit Tracker _11_27,Habit Tracker _11_27_9,train,is my information safe?, To quickly process your transactions.,Relevant
77540,../../Dataset/Train/com.oristats.habitbull,Habit Tracker _11,Habit Tracker _11_30,Habit Tracker _11_30_9,train,fear of being hacked, To quickly process your transactions.,Relevant
77596,../../Dataset/Train/com.oristats.habitbull,Habit Tracker _11,Habit Tracker _11_31,Habit Tracker _11_31_9,train,fear my private information will get shared, To quickly process your transactions.,Relevant
77662,../../Dataset/Train/com.oristats.habitbull,Habit Tracker _11,Habit Tracker _11_32,Habit Tracker _11_32_19,train,my data may be sold to advertisers,Google Analytics) might use cookies to gather information about people using our sites and apps.,Relevant
77663,../../Dataset/Train/com.oristats.habitbull,Habit Tracker _11,Habit Tracker _11_32,Habit Tracker _11_32_20,train,my data may be sold to advertisers,"You can choose to have your computer warn you each time a cookie is being sent, or you can choose to turn off all cookies.",Relevant
77664,../../Dataset/Train/com.oristats.habitbull,Habit Tracker _11,Habit Tracker _11_32,Habit Tracker _11_32_21,train,my data may be sold to advertisers,You do this through your browser (like Internet Explorer) settings.,Relevant
77665,../../Dataset/Train/com.oristats.habitbull,Habit Tracker _11,Habit Tracker _11_32,Habit Tracker _11_32_22,train,my data may be sold to advertisers,"Each browser is a little different, so look at your browsers Help menu to learn the correct way to modify your cookies.",Relevant
77774,../../Dataset/Train/com.oristats.habitbull,Habit Tracker _11,Habit Tracker _11_34,Habit Tracker _11_34_19,train,i might unknowingly sign a lengthy form that allows my data to be sent to third party companies,Google Analytics) might use cookies to gather information about people using our sites and apps.,Relevant
77775,../../Dataset/Train/com.oristats.habitbull,Habit Tracker _11,Habit Tracker _11_34,Habit Tracker _11_34_20,train,i might unknowingly sign a lengthy form that allows my data to be sent to third party companies,"You can choose to have your computer warn you each time a cookie is being sent, or you can choose to turn off all cookies.",Relevant
77776,../../Dataset/Train/com.oristats.habitbull,Habit Tracker _11,Habit Tracker _11_34,Habit Tracker _11_34_21,train,i might unknowingly sign a lengthy form that allows my data to be sent to third party companies,You do this through your browser (like Internet Explorer) settings.,Relevant
77777,../../Dataset/Train/com.oristats.habitbull,Habit Tracker _11,Habit Tracker _11_34,Habit Tracker _11_34_22,train,i might unknowingly sign a lengthy form that allows my data to be sent to third party companies,"Each browser is a little different, so look at your browsers Help menu to learn the correct way to modify your cookies.",Relevant
77820,../../Dataset/Train/com.oristats.habitbull,Habit Tracker _11,Habit Tracker _11_35,Habit Tracker _11_35_9,train,how long will my information be saved on your servers?, To quickly process your transactions.,Relevant
77823,../../Dataset/Train/com.oristats.habitbull,Habit Tracker _11,Habit Tracker _11_35,Habit Tracker _11_35_12,train,how long will my information be saved on your servers?,We do not use Malware Scanning.,Relevant
77870,../../Dataset/Train/com.oristats.habitbull,Habit Tracker _11,Habit Tracker _11_36,Habit Tracker _11_36_3,train,who has access to my information?,"When ordering or registering on our site, as appropriate, you may be asked to enter your name, email address or other details to help you with your experience.",Relevant
77886,../../Dataset/Train/com.oristats.habitbull,Habit Tracker _11,Habit Tracker _11_36,Habit Tracker _11_36_19,train,who has access to my information?,Google Analytics) might use cookies to gather information about people using our sites and apps.,Relevant
77887,../../Dataset/Train/com.oristats.habitbull,Habit Tracker _11,Habit Tracker _11_36,Habit Tracker _11_36_20,train,who has access to my information?,"You can choose to have your computer warn you each time a cookie is being sent, or you can choose to turn off all cookies.",Relevant
77888,../../Dataset/Train/com.oristats.habitbull,Habit Tracker _11,Habit Tracker _11_36,Habit Tracker _11_36_21,train,who has access to my information?,You do this through your browser (like Internet Explorer) settings.,Relevant
77889,../../Dataset/Train/com.oristats.habitbull,Habit Tracker _11,Habit Tracker _11_36,Habit Tracker _11_36_22,train,who has access to my information?,"Each browser is a little different, so look at your browsers Help menu to learn the correct way to modify your cookies.",Relevant
77932,../../Dataset/Train/com.oristats.habitbull,Habit Tracker _11,Habit Tracker _11_37,Habit Tracker _11_37_9,train,how secure is your app?, To quickly process your transactions.,Relevant
77933,../../Dataset/Train/com.oristats.habitbull,Habit Tracker _11,Habit Tracker _11_37,Habit Tracker _11_37_10,train,how secure is your app?, To send periodic emails regarding your order or other products and services.,Relevant
77934,../../Dataset/Train/com.oristats.habitbull,Habit Tracker _11,Habit Tracker _11_37,Habit Tracker _11_37_11,train,how secure is your app?,We do not use vulnerability scanning and/or scanning to PCI standards.,Relevant
77935,../../Dataset/Train/com.oristats.habitbull,Habit Tracker _11,Habit Tracker _11_37,Habit Tracker _11_37_12,train,how secure is your app?,We do not use Malware Scanning.,Relevant
78094,../../Dataset/Train/com.oristats.habitbull,Habit Tracker _11,Habit Tracker _11_40,Habit Tracker _11_40_3,train,will my data in the cloud be accessed by the company or others?,"When ordering or registering on our site, as appropriate, you may be asked to enter your name, email address or other details to help you with your experience.",Relevant
78110,../../Dataset/Train/com.oristats.habitbull,Habit Tracker _11,Habit Tracker _11_40,Habit Tracker _11_40_19,train,will my data in the cloud be accessed by the company or others?,Google Analytics) might use cookies to gather information about people using our sites and apps.,Relevant
78111,../../Dataset/Train/com.oristats.habitbull,Habit Tracker _11,Habit Tracker _11_40,Habit Tracker _11_40_20,train,will my data in the cloud be accessed by the company or others?,"You can choose to have your computer warn you each time a cookie is being sent, or you can choose to turn off all cookies.",Relevant
78112,../../Dataset/Train/com.oristats.habitbull,Habit Tracker _11,Habit Tracker _11_40,Habit Tracker _11_40_21,train,will my data in the cloud be accessed by the company or others?,You do this through your browser (like Internet Explorer) settings.,Relevant
78113,../../Dataset/Train/com.oristats.habitbull,Habit Tracker _11,Habit Tracker _11_40,Habit Tracker _11_40_22,train,will my data in the cloud be accessed by the company or others?,"Each browser is a little different, so look at your browsers Help menu to learn the correct way to modify your cookies.",Relevant
78278,../../Dataset/Train/com.oristats.habitbull,Habit Tracker _11,Habit Tracker _11_43,Habit Tracker _11_43_19,train,will my data be sold or available to be used by third party entities?,Google Analytics) might use cookies to gather information about people using our sites and apps.,Relevant
78279,../../Dataset/Train/com.oristats.habitbull,Habit Tracker _11,Habit Tracker _11_43,Habit Tracker _11_43_20,train,will my data be sold or available to be used by third party entities?,"You can choose to have your computer warn you each time a cookie is being sent, or you can choose to turn off all cookies.",Relevant
78280,../../Dataset/Train/com.oristats.habitbull,Habit Tracker _11,Habit Tracker _11_43,Habit Tracker _11_43_21,train,will my data be sold or available to be used by third party entities?,You do this through your browser (like Internet Explorer) settings.,Relevant
78281,../../Dataset/Train/com.oristats.habitbull,Habit Tracker _11,Habit Tracker _11_43,Habit Tracker _11_43_22,train,will my data be sold or available to be used by third party entities?,"Each browser is a little different, so look at your browsers Help menu to learn the correct way to modify your cookies.",Relevant
78374,../../Dataset/Train/com.oristats.habitbull,Habit Tracker _11,Habit Tracker _11_45,Habit Tracker _11_45_3,train,did you ask any personal details?,"When ordering or registering on our site, as appropriate, you may be asked to enter your name, email address or other details to help you with your experience.",Relevant
78436,../../Dataset/Train/com.oristats.habitbull,Habit Tracker _11,Habit Tracker _11_46,Habit Tracker _11_46_9,train,how secure my data?, To quickly process your transactions.,Relevant
78545,../../Dataset/Train/com.oristats.habitbull,Habit Tracker _11,Habit Tracker _11_48,Habit Tracker _11_48_6,train,what is the usage of good or bad habit data?,"We may use the information we collect from you when you register, make a purchase, sign up for our newsletter, respond to a survey or marketing communication, surf the website, or use certain other site features in the following ways:",Relevant
78546,../../Dataset/Train/com.oristats.habitbull,Habit Tracker _11,Habit Tracker _11_48,Habit Tracker _11_48_7,train,what is the usage of good or bad habit data?, To personalize users experience and to allow us to deliver the type of content and product offerings in which you are most interested.,Relevant
78598,../../Dataset/Train/com.oristats.habitbull,Habit Tracker _11,Habit Tracker _11_49,Habit Tracker _11_49_3,train,any possibilities are there to track my data from your app?,"When ordering or registering on our site, as appropriate, you may be asked to enter your name, email address or other details to help you with your experience.",Relevant
