11,0,1,2,3,4,5,6,7
44045,../../Dataset/Train/com.imdb.mobile,IMDb Movies & TV _8,IMDb Movies & TV _8_1,IMDb Movies & TV _8_1_3,train,does this app track my viewing habits?,Click here to see examples of what we collect.,Relevant
44118,../../Dataset/Train/com.imdb.mobile,IMDb Movies & TV _8,IMDb Movies & TV _8_1,IMDb Movies & TV _8_1_76,train,does this app track my viewing habits?,"If you choose to visit IMDb, your visit and any dispute over privacy is subject to this Notice and our Terms and Conditions of Use, including limitations on damages, resolution of disputes, and application of the law of the state of Washington.",Relevant
44119,../../Dataset/Train/com.imdb.mobile,IMDb Movies & TV _8,IMDb Movies & TV _8_1,IMDb Movies & TV _8_1_77,train,does this app track my viewing habits?,"  If you have any concern about privacy at IMDb, please send us a thorough description to our customer service team, and we will try to resolve it.",Relevant
44152,../../Dataset/Train/com.imdb.mobile,IMDb Movies & TV _8,IMDb Movies & TV _8_2,IMDb Movies & TV _8_2_19,train,does the app share my information with others?,"Cookies are alphanumeric identifiers that we transfer to your computer's hard drive through your Web browser to enable our systems to recognize your browser and to provide features such as Watchlist, local show times, and browsing preferences.",Relevant
44153,../../Dataset/Train/com.imdb.mobile,IMDb Movies & TV _8,IMDb Movies & TV _8_2,IMDb Movies & TV _8_2_20,train,does the app share my information with others?,"The ""help"" portion of the toolbar on most browsers will tell you how to prevent your browser from accepting new cookies, how to have the browser notify you when you receive a new cookie, or how to disable cookies altogether.",Relevant
44154,../../Dataset/Train/com.imdb.mobile,IMDb Movies & TV _8,IMDb Movies & TV _8_2,IMDb Movies & TV _8_2_21,train,does the app share my information with others?,"Additionally, you can disable or delete similar data used by browser add-ons, such as Flash cookies, by changing the add-on's settings or visiting the Web site of its manufacturer.",Relevant
44155,../../Dataset/Train/com.imdb.mobile,IMDb Movies & TV _8,IMDb Movies & TV _8_2,IMDb Movies & TV _8_2_22,train,does the app share my information with others?,"However, because cookies allow you to take full advantage of some of IMDb's essential features, we recommend that you leave them turned on.",Relevant
44156,../../Dataset/Train/com.imdb.mobile,IMDb Movies & TV _8,IMDb Movies & TV _8_2,IMDb Movies & TV _8_2_23,train,does the app share my information with others?,We use web beacons (also known as action tags or single-pixel gifs) and other technologies to measure the effectiveness of certain site features and to conduct research and analysis.,Relevant
44157,../../Dataset/Train/com.imdb.mobile,IMDb Movies & TV _8,IMDb Movies & TV _8_2,IMDb Movies & TV _8_2_24,train,does the app share my information with others?,"We also allow third parties to place web beacons and other technologies on our site to conduct research and analysis, but we do not provide personal information to such third parties.",Relevant
44158,../../Dataset/Train/com.imdb.mobile,IMDb Movies & TV _8,IMDb Movies & TV _8_2,IMDb Movies & TV _8_2_25,train,does the app share my information with others?,Does IMDb Share the Information It Receives?,Relevant
44159,../../Dataset/Train/com.imdb.mobile,IMDb Movies & TV _8,IMDb Movies & TV _8_2,IMDb Movies & TV _8_2_26,train,does the app share my information with others?,"Information about our users is an important part of our business, and we are not in the business of selling it to others.",Relevant
44160,../../Dataset/Train/com.imdb.mobile,IMDb Movies & TV _8,IMDb Movies & TV _8_2,IMDb Movies & TV _8_2_27,train,does the app share my information with others?,"We share user information with our parent corporation (Amazon.com, Inc.), the subsidiaries it controls, and as described below.",Relevant
44161,../../Dataset/Train/com.imdb.mobile,IMDb Movies & TV _8,IMDb Movies & TV _8_2,IMDb Movies & TV _8_2_28,train,does the app share my information with others?,Affiliated Businesses We Do Not Control: We work closely with our affiliated businesses.,Relevant
44162,../../Dataset/Train/com.imdb.mobile,IMDb Movies & TV _8,IMDb Movies & TV _8_2,IMDb Movies & TV _8_2_29,train,does the app share my information with others?,"In some cases, we will include offerings from these businesses on IMDb.",Relevant
44163,../../Dataset/Train/com.imdb.mobile,IMDb Movies & TV _8,IMDb Movies & TV _8_2,IMDb Movies & TV _8_2_30,train,does the app share my information with others?,"In other cases, we may include joint offerings from IMDb and these businesses on IMDb.",Relevant
44164,../../Dataset/Train/com.imdb.mobile,IMDb Movies & TV _8,IMDb Movies & TV _8_2,IMDb Movies & TV _8_2_31,train,does the app share my information with others?,"You can tell when another business is involved in the offering, and we share user information related to those offerings with that business.",Relevant
