11,0,1,2,3,4,5,6,7
167903,../../Dataset/Train/org.khanacademy.android,Khan Academy _27,Khan Academy _27_0,Khan Academy _27_0_2,train,what information are you collecting from me?,"If you create an account on the Khan Academy Service, or communicate with Khan Academy, you may provide to Khan Academy what is generally called Personal Information or Personal Data, such as your full name, birthdate, email address or other information that can be used to identify you.",Relevant
167905,../../Dataset/Train/org.khanacademy.android,Khan Academy _27,Khan Academy _27_0,Khan Academy _27_0_4,train,what information are you collecting from me?,"We collect information, including personal information, in a variety of ways which may vary according to your use of the Service and your account settings.",Relevant
167907,../../Dataset/Train/org.khanacademy.android,Khan Academy _27,Khan Academy _27_0,Khan Academy _27_0_6,train,what information are you collecting from me?,"Contact and profile information Account and authentication information from third-party integrated services Location information Information about your browser or device Donation and applicant data Non-personal information which may be linked to your Personal Information Below, we describe examples of the categories of information we collect from and about you when you use our Service:",Relevant
167908,../../Dataset/Train/org.khanacademy.android,Khan Academy _27,Khan Academy _27_0,Khan Academy _27_0_7,train,what information are you collecting from me?,Information you provide to us and information we receive about you from others Contact and profile information.,Relevant
167909,../../Dataset/Train/org.khanacademy.android,Khan Academy _27,Khan Academy _27_0,Khan Academy _27_0_8,train,what information are you collecting from me?,"When you create an account on the Khan Academy Service, or communicate with us, we may collect personal information including your name, email address, and birthdate.",Relevant
167910,../../Dataset/Train/org.khanacademy.android,Khan Academy _27,Khan Academy _27_0,Khan Academy _27_0_9,train,what information are you collecting from me?,"After you register, you may also choose to provide additional information in your profile, such as your nickname, location (city), and other personal or demographic information.",Relevant
167911,../../Dataset/Train/org.khanacademy.android,Khan Academy _27,Khan Academy _27_0,Khan Academy _27_0_10,train,what information are you collecting from me?,"In addition, we may ask you for personal information at other times, such as when you contact our technical support team, send us an email, complete a user survey, or otherwise communicate with Khan Academy.",Relevant
167913,../../Dataset/Train/org.khanacademy.android,Khan Academy _27,Khan Academy _27_0,Khan Academy _27_0_12,train,what information are you collecting from me?,"If you decide to register through or otherwise grant access to a third-party social networking or integrated service (what we call an Integrated Service), such as Facebook, Google, Clever or similar single sign-on service, Khan Academy may also collect Personal Information that is already associated with your Integrated Service account.",Relevant
167914,../../Dataset/Train/org.khanacademy.android,Khan Academy _27,Khan Academy _27_0,Khan Academy _27_0_13,train,what information are you collecting from me?,"You may also have the option of sharing additional information with Khan Academy through an Integrated Service, as controlled through your settings on that Integrated Service.",Relevant
167915,../../Dataset/Train/org.khanacademy.android,Khan Academy _27,Khan Academy _27_0,Khan Academy _27_0_14,train,what information are you collecting from me?,"If you choose to provide such information, during registration or otherwise, Khan Academy will treat the information as Personal Information and will use it in the ways described in this Privacy Policy.",Relevant
167917,../../Dataset/Train/org.khanacademy.android,Khan Academy _27,Khan Academy _27_0,Khan Academy _27_0_16,train,what information are you collecting from me?,We make available certain features on our Service that allow other users to provide us information about you.,Relevant
167918,../../Dataset/Train/org.khanacademy.android,Khan Academy _27,Khan Academy _27_0,Khan Academy _27_0_17,train,what information are you collecting from me?,"For example, a parent or teacher may provide information relating to a Child User, such as when a parent registers an account for their Child and provide us with certain information about the Child, such as user name and age.",Relevant
167920,../../Dataset/Train/org.khanacademy.android,Khan Academy _27,Khan Academy _27_0,Khan Academy _27_0_19,train,what information are you collecting from me?,We may also receive information from third party organizations with which we partner to provide educational services.,Relevant
167921,../../Dataset/Train/org.khanacademy.android,Khan Academy _27,Khan Academy _27_0,Khan Academy _27_0_20,train,what information are you collecting from me?,"If we combine or associate information from other sources with Personal Information that we collect through our Service, we will treat the combined information as Personal Information in accordance with this Privacy Policy.",Relevant
167923,../../Dataset/Train/org.khanacademy.android,Khan Academy _27,Khan Academy _27_0,Khan Academy _27_0_22,train,what information are you collecting from me?,"From time to time, Khan Academy may feature a special program or activity we offer in partnership with a third party.",Relevant
167924,../../Dataset/Train/org.khanacademy.android,Khan Academy _27,Khan Academy _27_0,Khan Academy _27_0_23,train,what information are you collecting from me?,"If you participate in these special programs, Khan Academy may collect personal information from you to facilitate those programs.",Relevant
167925,../../Dataset/Train/org.khanacademy.android,Khan Academy _27,Khan Academy _27_0,Khan Academy _27_0_24,train,what information are you collecting from me?,"For example, LearnStorm participants may be asked to provide information related to event logistics and prize awarding and processing (e.g., contact information, dietary restrictions, shirt sizes, etc.",Relevant
167926,../../Dataset/Train/org.khanacademy.android,Khan Academy _27,Khan Academy _27_0,Khan Academy _27_0_25,train,what information are you collecting from me?,"), and College Board program participants may provide information regarding study habits and test scores (e.g., the number of hours studied, modules or tests taken, scores earned, etc.",Relevant
167929,../../Dataset/Train/org.khanacademy.android,Khan Academy _27,Khan Academy _27_0,Khan Academy _27_0_28,train,what information are you collecting from me?,"We may collect usage information about your use of our Service, such as the number of problems you have attempted, the number of videos you have viewed, and the amount of time spent to complete a problem.",Relevant
167932,../../Dataset/Train/org.khanacademy.android,Khan Academy _27,Khan Academy _27_0,Khan Academy _27_0_31,train,what information are you collecting from me?,"We may collect and use information about your location (such as your country) or infer your approximate location based on your IP address in order to provide you with tailored educational experiences for your region, but we dont collect the precise geolocation of you or your device.",Relevant
167935,../../Dataset/Train/org.khanacademy.android,Khan Academy _27,Khan Academy _27_0,Khan Academy _27_0_34,train,what information are you collecting from me?,"If you donate to Khan Academy via PayPal, we may obtain your name and mailing address to send a thank you note, or if you apply for a job with Khan Academy via an online recruiting site, we will obtain the information you provide in your application for that purpose.",Relevant
167937,../../Dataset/Train/org.khanacademy.android,Khan Academy _27,Khan Academy _27_0,Khan Academy _27_0_36,train,what information are you collecting from me?,"To provide a personalized learning and high-quality experience for our users, we may use various technologies that automatically record certain technical information from your browser or device when you visit our website, read our emails, use our Service or otherwise engage with us.",Relevant
167938,../../Dataset/Train/org.khanacademy.android,Khan Academy _27,Khan Academy _27_0,Khan Academy _27_0_37,train,what information are you collecting from me?,"This information is typically collected through a variety of tracking technologies, including cookies, web beacons, Flash objects, log files, and similar technology (collectively, tracking technologies).",Relevant
