11,0,1,2,3,4,5,6,7
78667,../../Dataset/Train/com.pepperplate,"Recipe, Menu & Cooking Planner _12","Recipe, Menu & Cooking Planner _12_0","Recipe, Menu & Cooking Planner _12_0_16",train,what info do you share?,This information may also be shared with other marketers to bring you offers of interest.,Relevant
78710,../../Dataset/Train/com.pepperplate,"Recipe, Menu & Cooking Planner _12","Recipe, Menu & Cooking Planner _12_0","Recipe, Menu & Cooking Planner _12_0_59",train,what info do you share?," Pepperplate uses GourmetAds, a third party advertising provider, to serve advertisements on the Pepperplate.com website.",Relevant
78712,../../Dataset/Train/com.pepperplate,"Recipe, Menu & Cooking Planner _12","Recipe, Menu & Cooking Planner _12_0","Recipe, Menu & Cooking Planner _12_0_61",train,what info do you share?,These companies may employ cookies and clear gifs to measure advertising effectiveness.,Relevant
78766,../../Dataset/Train/com.pepperplate,"Recipe, Menu & Cooking Planner _12","Recipe, Menu & Cooking Planner _12_1","Recipe, Menu & Cooking Planner _12_1_16",train,do you sell my info?,This information may also be shared with other marketers to bring you offers of interest.,Relevant
78809,../../Dataset/Train/com.pepperplate,"Recipe, Menu & Cooking Planner _12","Recipe, Menu & Cooking Planner _12_1","Recipe, Menu & Cooking Planner _12_1_59",train,do you sell my info?," Pepperplate uses GourmetAds, a third party advertising provider, to serve advertisements on the Pepperplate.com website.",Relevant
78811,../../Dataset/Train/com.pepperplate,"Recipe, Menu & Cooking Planner _12","Recipe, Menu & Cooking Planner _12_1","Recipe, Menu & Cooking Planner _12_1_61",train,do you sell my info?,These companies may employ cookies and clear gifs to measure advertising effectiveness.,Relevant
78861,../../Dataset/Train/com.pepperplate,"Recipe, Menu & Cooking Planner _12","Recipe, Menu & Cooking Planner _12_2","Recipe, Menu & Cooking Planner _12_2_12",train,do you track personal identification," In order to make your visits to our website and use of the services available on or through our website as worthwhile as possible, Pepperplate may also collect Personal Information about its visitors, but only when a visitor provides such Personal Information to us in the process of ordering subscriptions, entering contests or sweepstakes, signing up for our newsletter(s), using our ""Feedback"" feature, registering with the website or using other services available on or through our Website.",Relevant
78960,../../Dataset/Train/com.pepperplate,"Recipe, Menu & Cooking Planner _12","Recipe, Menu & Cooking Planner _12_3","Recipe, Menu & Cooking Planner _12_3_12",train,how is my info used," In order to make your visits to our website and use of the services available on or through our website as worthwhile as possible, Pepperplate may also collect Personal Information about its visitors, but only when a visitor provides such Personal Information to us in the process of ordering subscriptions, entering contests or sweepstakes, signing up for our newsletter(s), using our ""Feedback"" feature, registering with the website or using other services available on or through our Website.",Relevant
78963,../../Dataset/Train/com.pepperplate,"Recipe, Menu & Cooking Planner _12","Recipe, Menu & Cooking Planner _12_3","Recipe, Menu & Cooking Planner _12_3_15",train,how is my info used,This information is used by Pepperplate to fulfill your requests and for marketing and research purposes.,Relevant
78964,../../Dataset/Train/com.pepperplate,"Recipe, Menu & Cooking Planner _12","Recipe, Menu & Cooking Planner _12_3","Recipe, Menu & Cooking Planner _12_3_16",train,how is my info used,This information may also be shared with other marketers to bring you offers of interest.,Relevant
78972,../../Dataset/Train/com.pepperplate,"Recipe, Menu & Cooking Planner _12","Recipe, Menu & Cooking Planner _12_3","Recipe, Menu & Cooking Planner _12_3_24",train,how is my info used,All of these purposes serve to enhance your experience while using our services in the ways described below.,Relevant
78982,../../Dataset/Train/com.pepperplate,"Recipe, Menu & Cooking Planner _12","Recipe, Menu & Cooking Planner _12_3","Recipe, Menu & Cooking Planner _12_3_34",train,how is my info used,"Such information may be used to determine what site content is of interest to which users, what types of email newsletters and other communications are appropriate for individual users, and to identify user-generated content such as message board postings, votes in online polls and participation in online games.",Relevant
