11,0,1,2,3,4,5,6,7
48512,../../Dataset/Train/com.intuit.quickbooks,QuickBooks Accounting: Invoicing & Expenses _9,QuickBooks Accounting: Invoicing & Expenses _9_0,QuickBooks Accounting: Invoicing & Expenses _9_0_11,train,are my invoices safe., We provide reasonable and appropriate security measures in connection with securing Personal Information we collect.,Relevant
48513,../../Dataset/Train/com.intuit.quickbooks,QuickBooks Accounting: Invoicing & Expenses _9,QuickBooks Accounting: Invoicing & Expenses _9_0,QuickBooks Accounting: Invoicing & Expenses _9_0_12,train,are my invoices safe.,"For example, we:  Constantly work to update our security practices to implement accepted best methods to protect your Personal Information, and review our security procedures carefully.",Relevant
48514,../../Dataset/Train/com.intuit.quickbooks,QuickBooks Accounting: Invoicing & Expenses _9,QuickBooks Accounting: Invoicing & Expenses _9_0,QuickBooks Accounting: Invoicing & Expenses _9_0_13,train,are my invoices safe.,Comply with applicable laws and security standards.,Relevant
48515,../../Dataset/Train/com.intuit.quickbooks,QuickBooks Accounting: Invoicing & Expenses _9,QuickBooks Accounting: Invoicing & Expenses _9_0,QuickBooks Accounting: Invoicing & Expenses _9_0_14,train,are my invoices safe.,Securely transmit your sensitive Personal Information.,Relevant
48516,../../Dataset/Train/com.intuit.quickbooks,QuickBooks Accounting: Invoicing & Expenses _9,QuickBooks Accounting: Invoicing & Expenses _9_0,QuickBooks Accounting: Invoicing & Expenses _9_0_15,train,are my invoices safe.,Train our staff and require them to safeguard your data.,Relevant
48517,../../Dataset/Train/com.intuit.quickbooks,QuickBooks Accounting: Invoicing & Expenses _9,QuickBooks Accounting: Invoicing & Expenses _9_0,QuickBooks Accounting: Invoicing & Expenses _9_0_16,train,are my invoices safe.,"Transmit, store, protect, and access all cardholder information in compliance with the Payment Card Industry's Data Security Standards.",Relevant
48518,../../Dataset/Train/com.intuit.quickbooks,QuickBooks Accounting: Invoicing & Expenses _9,QuickBooks Accounting: Invoicing & Expenses _9_0,QuickBooks Accounting: Invoicing & Expenses _9_0_17,train,are my invoices safe.,We provide reasonable and appropriate security measures in connection with securing Personal Information we collect.,Relevant
48519,../../Dataset/Train/com.intuit.quickbooks,QuickBooks Accounting: Invoicing & Expenses _9,QuickBooks Accounting: Invoicing & Expenses _9_0,QuickBooks Accounting: Invoicing & Expenses _9_0_18,train,are my invoices safe.,"For example, we:",Relevant
48520,../../Dataset/Train/com.intuit.quickbooks,QuickBooks Accounting: Invoicing & Expenses _9,QuickBooks Accounting: Invoicing & Expenses _9_0,QuickBooks Accounting: Invoicing & Expenses _9_0_19,train,are my invoices safe.,"Constantly work to update our security practices to implement accepted best methods to protect your Personal Information, and review our security procedures carefully.",Relevant
48956,../../Dataset/Train/com.intuit.quickbooks,QuickBooks Accounting: Invoicing & Expenses _9,QuickBooks Accounting: Invoicing & Expenses _9_1,QuickBooks Accounting: Invoicing & Expenses _9_1_28,train,who else can see my data.,"This Privacy Statement (Statement) applies to our sites, products, and services (collectively, ""Services"") that link to this Statement.",Relevant
48957,../../Dataset/Train/com.intuit.quickbooks,QuickBooks Accounting: Invoicing & Expenses _9,QuickBooks Accounting: Invoicing & Expenses _9_1,QuickBooks Accounting: Invoicing & Expenses _9_1_29,train,who else can see my data.,Intuit Ltd. is the controller of all Personal Information subject to this Statement for our Services available to global customers.,Relevant
48976,../../Dataset/Train/com.intuit.quickbooks,QuickBooks Accounting: Invoicing & Expenses _9,QuickBooks Accounting: Invoicing & Expenses _9_1,QuickBooks Accounting: Invoicing & Expenses _9_1_48,train,who else can see my data.,"If you set up an administrator account that may be accessed by people other than you, please note that they may see and have the ability to change or delete your Personal Information.",Relevant
48977,../../Dataset/Train/com.intuit.quickbooks,QuickBooks Accounting: Invoicing & Expenses _9,QuickBooks Accounting: Invoicing & Expenses _9_1,QuickBooks Accounting: Invoicing & Expenses _9_1_49,train,who else can see my data.,To Provide Our Services and Operate Our Business.,Relevant
48978,../../Dataset/Train/com.intuit.quickbooks,QuickBooks Accounting: Invoicing & Expenses _9,QuickBooks Accounting: Invoicing & Expenses _9_1,QuickBooks Accounting: Invoicing & Expenses _9_1_50,train,who else can see my data.,"We may use your information to operate our business, including providing Services you requested, provide you with support related to our Services, and to help us protect our Services, including to combat fraud and protect your information.",Relevant
48979,../../Dataset/Train/com.intuit.quickbooks,QuickBooks Accounting: Invoicing & Expenses _9,QuickBooks Accounting: Invoicing & Expenses _9_1,QuickBooks Accounting: Invoicing & Expenses _9_1_51,train,who else can see my data.,Customer Service and Technical Support.,Relevant
48981,../../Dataset/Train/com.intuit.quickbooks,QuickBooks Accounting: Invoicing & Expenses _9,QuickBooks Accounting: Invoicing & Expenses _9_1,QuickBooks Accounting: Invoicing & Expenses _9_1_53,train,who else can see my data.,"We also offer various Internet chat services, for example, to speak with an Intuit support representative or tax advisor.",Relevant
48982,../../Dataset/Train/com.intuit.quickbooks,QuickBooks Accounting: Invoicing & Expenses _9,QuickBooks Accounting: Invoicing & Expenses _9_1,QuickBooks Accounting: Invoicing & Expenses _9_1_54,train,who else can see my data.,"Internet Chat transmissions are encrypted but you should not supply more Personal Information, including tax data, than is required to address your specific issue.",Relevant
48985,../../Dataset/Train/com.intuit.quickbooks,QuickBooks Accounting: Invoicing & Expenses _9,QuickBooks Accounting: Invoicing & Expenses _9_1,QuickBooks Accounting: Invoicing & Expenses _9_1_57,train,who else can see my data.,We may use your information to communicate with you about our Services and to give you offers for third party products and services that we think may be of use to you.,Relevant
48987,../../Dataset/Train/com.intuit.quickbooks,QuickBooks Accounting: Invoicing & Expenses _9,QuickBooks Accounting: Invoicing & Expenses _9_1,QuickBooks Accounting: Invoicing & Expenses _9_1_59,train,who else can see my data.,To Improve Services and Develop New Services.,Relevant
48988,../../Dataset/Train/com.intuit.quickbooks,QuickBooks Accounting: Invoicing & Expenses _9,QuickBooks Accounting: Invoicing & Expenses _9_1,QuickBooks Accounting: Invoicing & Expenses _9_1_60,train,who else can see my data.,"We will use your information to personalize or customize your experience and the Service, develop new features or services, and to improve the overall quality of Intuit's Services.",Relevant
48990,../../Dataset/Train/com.intuit.quickbooks,QuickBooks Accounting: Invoicing & Expenses _9,QuickBooks Accounting: Invoicing & Expenses _9_1,QuickBooks Accounting: Invoicing & Expenses _9_1_62,train,who else can see my data.,We may use any information you volunteer in surveys you answer for us and combine them with answers from other customers in order to better understand our Services and how we may improve them.,Relevant
48991,../../Dataset/Train/com.intuit.quickbooks,QuickBooks Accounting: Invoicing & Expenses _9,QuickBooks Accounting: Invoicing & Expenses _9_1,QuickBooks Accounting: Invoicing & Expenses _9_1_63,train,who else can see my data.,Answering any survey is optional.,Relevant
48992,../../Dataset/Train/com.intuit.quickbooks,QuickBooks Accounting: Invoicing & Expenses _9,QuickBooks Accounting: Invoicing & Expenses _9_1,QuickBooks Accounting: Invoicing & Expenses _9_1_64,train,who else can see my data.,"Research, Including Publishing or Sharing Combined Information from Many Users, But Only in a Way that Would Not Allow You or Any Other Person to be Identified.",Relevant
48993,../../Dataset/Train/com.intuit.quickbooks,QuickBooks Accounting: Invoicing & Expenses _9,QuickBooks Accounting: Invoicing & Expenses _9_1,QuickBooks Accounting: Invoicing & Expenses _9_1_65,train,who else can see my data.,"Only in a way that would not allow you or any other person to be identified, we may prepare and share information about our customers with third parties, such as advertisers or partners, for research, academic, marketing and/or promotional purposes.",Relevant
48995,../../Dataset/Train/com.intuit.quickbooks,QuickBooks Accounting: Invoicing & Expenses _9,QuickBooks Accounting: Invoicing & Expenses _9_1,QuickBooks Accounting: Invoicing & Expenses _9_1_67,train,who else can see my data.,"We or our third party partners may publicly report the aggregated findings of the research or analysis, but only in a way that would not allow you or any other person to be identified.",Relevant
49039,../../Dataset/Train/com.intuit.quickbooks,QuickBooks Accounting: Invoicing & Expenses _9,QuickBooks Accounting: Invoicing & Expenses _9_1,QuickBooks Accounting: Invoicing & Expenses _9_1_111,train,who else can see my data.," In connection with accessing our Services, we may collect information from you which can be used to identify you (""Personal Information""), such as your name, shipping/billing address, email address, phone, username and password.",Relevant
49040,../../Dataset/Train/com.intuit.quickbooks,QuickBooks Accounting: Invoicing & Expenses _9,QuickBooks Accounting: Invoicing & Expenses _9_1,QuickBooks Accounting: Invoicing & Expenses _9_1_112,train,who else can see my data.,"We collect information when you register or open an account, sign in, pay a bill, purchase a Service, use a Service, call us for support, or give us feedback.",Relevant
49063,../../Dataset/Train/com.intuit.quickbooks,QuickBooks Accounting: Invoicing & Expenses _9,QuickBooks Accounting: Invoicing & Expenses _9_1,QuickBooks Accounting: Invoicing & Expenses _9_1_135,train,who else can see my data.,Customer Service and Technical Support.,Relevant
49064,../../Dataset/Train/com.intuit.quickbooks,QuickBooks Accounting: Invoicing & Expenses _9,QuickBooks Accounting: Invoicing & Expenses _9_1,QuickBooks Accounting: Invoicing & Expenses _9_1_136,train,who else can see my data.,"We may use your name, address, phone number, email address, how you interact with our Services, and information about your computer configuration to resolve questions you may have about our Services and to follow up with you about your experience.",Relevant
