11,0,1,2,3,4,5,6,7
92995,../../Dataset/Train/com.shutterfly,"Shutterfly: Free Prints, Photo Books, Cards, Gifts _14","Shutterfly: Free Prints, Photo Books, Cards, Gifts _14_1","Shutterfly: Free Prints, Photo Books, Cards, Gifts _14_1_1",train,how/where are my pictures stored?,"Personal information is any information about you that is personally identifiable, such as your name, address, email address or phone number, Facebook Connect sign-in information (if applicable), and any other information that is not otherwise publicly available.",Relevant
93071,../../Dataset/Train/com.shutterfly,"Shutterfly: Free Prints, Photo Books, Cards, Gifts _14","Shutterfly: Free Prints, Photo Books, Cards, Gifts _14_1","Shutterfly: Free Prints, Photo Books, Cards, Gifts _14_1_77",train,how/where are my pictures stored?,"We use other physical, electronic and procedural safeguards to protect the security and confidentiality of the information we have collected, and to prevent unauthorized access to or disclosure of your information.",Relevant
93163,../../Dataset/Train/com.shutterfly,"Shutterfly: Free Prints, Photo Books, Cards, Gifts _14","Shutterfly: Free Prints, Photo Books, Cards, Gifts _14_2","Shutterfly: Free Prints, Photo Books, Cards, Gifts _14_2_76",train,how is my data stored?,We use a secure server (SSL) to encrypt your personal financial information.,Relevant
93164,../../Dataset/Train/com.shutterfly,"Shutterfly: Free Prints, Photo Books, Cards, Gifts _14","Shutterfly: Free Prints, Photo Books, Cards, Gifts _14_2","Shutterfly: Free Prints, Photo Books, Cards, Gifts _14_2_77",train,how is my data stored?,"We use other physical, electronic and procedural safeguards to protect the security and confidentiality of the information we have collected, and to prevent unauthorized access to or disclosure of your information.",Relevant
93196,../../Dataset/Train/com.shutterfly,"Shutterfly: Free Prints, Photo Books, Cards, Gifts _14","Shutterfly: Free Prints, Photo Books, Cards, Gifts _14_3","Shutterfly: Free Prints, Photo Books, Cards, Gifts _14_3_16",train,do you sell any of my data?,We use third-party service providers to serve ads on our behalf across the Internet and sometimes on our Sites and Apps.,Relevant
93197,../../Dataset/Train/com.shutterfly,"Shutterfly: Free Prints, Photo Books, Cards, Gifts _14","Shutterfly: Free Prints, Photo Books, Cards, Gifts _14_3","Shutterfly: Free Prints, Photo Books, Cards, Gifts _14_3_17",train,do you sell any of my data?,They may collect anonymous information about your visits to our Sites and Apps and your interaction with our products and services.,Relevant
93198,../../Dataset/Train/com.shutterfly,"Shutterfly: Free Prints, Photo Books, Cards, Gifts _14","Shutterfly: Free Prints, Photo Books, Cards, Gifts _14_3","Shutterfly: Free Prints, Photo Books, Cards, Gifts _14_3_18",train,do you sell any of my data?,They may also use information about your visits to our Sites and Apps and other sites and mobile applications to target ads for products and services.,Relevant
93201,../../Dataset/Train/com.shutterfly,"Shutterfly: Free Prints, Photo Books, Cards, Gifts _14","Shutterfly: Free Prints, Photo Books, Cards, Gifts _14_3","Shutterfly: Free Prints, Photo Books, Cards, Gifts _14_3_21",train,do you sell any of my data?,No personally identifiable information is collected in this process.,Relevant
93238,../../Dataset/Train/com.shutterfly,"Shutterfly: Free Prints, Photo Books, Cards, Gifts _14","Shutterfly: Free Prints, Photo Books, Cards, Gifts _14_3","Shutterfly: Free Prints, Photo Books, Cards, Gifts _14_3_58",train,do you sell any of my data?,From time to time we share the personal information we collect with trusted companies who work with or on behalf of us.,Relevant
93239,../../Dataset/Train/com.shutterfly,"Shutterfly: Free Prints, Photo Books, Cards, Gifts _14","Shutterfly: Free Prints, Photo Books, Cards, Gifts _14_3","Shutterfly: Free Prints, Photo Books, Cards, Gifts _14_3_59",train,do you sell any of my data?,We may share personal information within our family of brands.,Relevant
93241,../../Dataset/Train/com.shutterfly,"Shutterfly: Free Prints, Photo Books, Cards, Gifts _14","Shutterfly: Free Prints, Photo Books, Cards, Gifts _14_3","Shutterfly: Free Prints, Photo Books, Cards, Gifts _14_3_61",train,do you sell any of my data?,"These companies may use your personal information to enhance and personalize your shopping experience with us, to communicate with you about products and events that may be of interest to you and for other promotional purposes.",Relevant
93243,../../Dataset/Train/com.shutterfly,"Shutterfly: Free Prints, Photo Books, Cards, Gifts _14","Shutterfly: Free Prints, Photo Books, Cards, Gifts _14_3","Shutterfly: Free Prints, Photo Books, Cards, Gifts _14_3_63",train,do you sell any of my data?,"With that in mind, when you purchase an item, your customer information may be shared with other select companies whose products and services you may find useful and those select companies will handle, store, retain, use, share and access personal information in accordance with their own privacy policies, and we disclaim any and all liability relating thereto.",Relevant
93368,../../Dataset/Train/com.shutterfly,"Shutterfly: Free Prints, Photo Books, Cards, Gifts _14","Shutterfly: Free Prints, Photo Books, Cards, Gifts _14_5","Shutterfly: Free Prints, Photo Books, Cards, Gifts _14_5_2",train,who has access to my photos?,"In addition, if you send email invitations to friends and family to allow them to view your pictures or saved projects, or if you invite them to participate in Shutterfly Share Sites, those email addresses are personal information.",Relevant
93400,../../Dataset/Train/com.shutterfly,"Shutterfly: Free Prints, Photo Books, Cards, Gifts _14","Shutterfly: Free Prints, Photo Books, Cards, Gifts _14_5","Shutterfly: Free Prints, Photo Books, Cards, Gifts _14_5_34",train,who has access to my photos?,"For example, sharing your pictures electronically is one of the key benefits we offer.",Relevant
93401,../../Dataset/Train/com.shutterfly,"Shutterfly: Free Prints, Photo Books, Cards, Gifts _14","Shutterfly: Free Prints, Photo Books, Cards, Gifts _14_5","Shutterfly: Free Prints, Photo Books, Cards, Gifts _14_5_35",train,who has access to my photos?,"You are able to send an email invitation to your selected recipients, and then to allow them to view, save, or purchase products from your pictures.",Relevant
93405,../../Dataset/Train/com.shutterfly,"Shutterfly: Free Prints, Photo Books, Cards, Gifts _14","Shutterfly: Free Prints, Photo Books, Cards, Gifts _14_5","Shutterfly: Free Prints, Photo Books, Cards, Gifts _14_5_39",train,who has access to my photos?,"If you create a special site through Shutterfly Share Sites to share your pictures, you may invite recipients to participate in that site.",Relevant
93646,../../Dataset/Train/com.shutterfly,"Shutterfly: Free Prints, Photo Books, Cards, Gifts _14","Shutterfly: Free Prints, Photo Books, Cards, Gifts _14_8","Shutterfly: Free Prints, Photo Books, Cards, Gifts _14_8_1",train,do you sell my photos to anyone?,"Personal information is any information about you that is personally identifiable, such as your name, address, email address or phone number, Facebook Connect sign-in information (if applicable), and any other information that is not otherwise publicly available.",Relevant
