11,0,1,2,3,4,5,6,7
113508,../../Dataset/Train/com.touchnote.android,TouchNote: Cards & Gifts _17,TouchNote: Cards & Gifts _17_0,TouchNote: Cards & Gifts _17_0_7,train,will you save the names of friends and family?,"This is information about you that you give us by filling in forms on our Platform or by corresponding with us by phone, e-mail or otherwise.",Relevant
113511,../../Dataset/Train/com.touchnote.android,TouchNote: Cards & Gifts _17,TouchNote: Cards & Gifts _17_0,TouchNote: Cards & Gifts _17_0_10,train,will you save the names of friends and family?,"In order to take advantage of some of our Services, you may need to supply us with the personal details of a third party (for example, their name and address if you wish to send them some of our products).",Relevant
113512,../../Dataset/Train/com.touchnote.android,TouchNote: Cards & Gifts _17,TouchNote: Cards & Gifts _17_0,TouchNote: Cards & Gifts _17_0_11,train,will you save the names of friends and family?,We will not use this information for anything other than providing the Service for which the information was supplied.,Relevant
113513,../../Dataset/Train/com.touchnote.android,TouchNote: Cards & Gifts _17,TouchNote: Cards & Gifts _17_0,TouchNote: Cards & Gifts _17_0_12,train,will you save the names of friends and family?,Information we collect about you.,Relevant
113639,../../Dataset/Train/com.touchnote.android,TouchNote: Cards & Gifts _17,TouchNote: Cards & Gifts _17_1,TouchNote: Cards & Gifts _17_1_11,train,will the messages that i put in be deleted forever?,We will not use this information for anything other than providing the Service for which the information was supplied.,Relevant
113640,../../Dataset/Train/com.touchnote.android,TouchNote: Cards & Gifts _17,TouchNote: Cards & Gifts _17_1,TouchNote: Cards & Gifts _17_1_12,train,will the messages that i put in be deleted forever?,Information we collect about you.,Relevant
113697,../../Dataset/Train/com.touchnote.android,TouchNote: Cards & Gifts _17,TouchNote: Cards & Gifts _17_1,TouchNote: Cards & Gifts _17_1_69,train,will the messages that i put in be deleted forever?,"After that, we may continue to hold data that relates to you and your use of our Platform for research and statistical analysis, as permitted under the relevant sections of the Regulations.",Relevant
113698,../../Dataset/Train/com.touchnote.android,TouchNote: Cards & Gifts _17,TouchNote: Cards & Gifts _17_1,TouchNote: Cards & Gifts _17_1_70,train,will the messages that i put in be deleted forever?,"However, during the time you may contact us to request that we delete personal data we hold about you.",Relevant
113699,../../Dataset/Train/com.touchnote.android,TouchNote: Cards & Gifts _17,TouchNote: Cards & Gifts _17_1,TouchNote: Cards & Gifts _17_1_71,train,will the messages that i put in be deleted forever?,You have the right to ask us to erase your personal data or not to process your personal data.,Relevant
113766,../../Dataset/Train/com.touchnote.android,TouchNote: Cards & Gifts _17,TouchNote: Cards & Gifts _17_2,TouchNote: Cards & Gifts _17_2_11,train,will you know the location of friends and family?,We will not use this information for anything other than providing the Service for which the information was supplied.,Relevant
113767,../../Dataset/Train/com.touchnote.android,TouchNote: Cards & Gifts _17,TouchNote: Cards & Gifts _17_2,TouchNote: Cards & Gifts _17_2_12,train,will you know the location of friends and family?,Information we collect about you.,Relevant
113942,../../Dataset/Train/com.touchnote.android,TouchNote: Cards & Gifts _17,TouchNote: Cards & Gifts _17_3,TouchNote: Cards & Gifts _17_3_60,train,has your app ever been hacked?,"You further specfically consent to our sending your information outside the EEA to countries including but not limited to the Phillipines, Jamaica and Kenya for the servicing of your Customer Support Request,",Relevant
113944,../../Dataset/Train/com.touchnote.android,TouchNote: Cards & Gifts _17,TouchNote: Cards & Gifts _17_3,TouchNote: Cards & Gifts _17_3_62,train,has your app ever been hacked?,Any payment transactions will be encrypted using SSL technology.,Relevant
113945,../../Dataset/Train/com.touchnote.android,TouchNote: Cards & Gifts _17,TouchNote: Cards & Gifts _17_3,TouchNote: Cards & Gifts _17_3_63,train,has your app ever been hacked?,"Where we have given you (or where you have chosen) a password which enables you to access certain parts of our site, you are responsible for keeping this password confidential.",Relevant
113948,../../Dataset/Train/com.touchnote.android,TouchNote: Cards & Gifts _17,TouchNote: Cards & Gifts _17_3,TouchNote: Cards & Gifts _17_3_66,train,has your app ever been hacked?,"Although we will do our best to protect your personal data, we cannot guarantee the security of your data transmitted to our site; any transmission is at your own risk.",Relevant
113949,../../Dataset/Train/com.touchnote.android,TouchNote: Cards & Gifts _17,TouchNote: Cards & Gifts _17_3,TouchNote: Cards & Gifts _17_3_67,train,has your app ever been hacked?,"Once we have received your information, we will use strict procedures and security features to try to prevent unauthorised access.",Relevant
113950,../../Dataset/Train/com.touchnote.android,TouchNote: Cards & Gifts _17,TouchNote: Cards & Gifts _17_3,TouchNote: Cards & Gifts _17_3_68,train,has your app ever been hacked?,We will retain your personal data for so long as is necessary for the purposes stated in this Privacy Policy and to address any claims or issues that may arise concerning your use of our Services.,Relevant
114050,../../Dataset/Train/com.touchnote.android,TouchNote: Cards & Gifts _17,TouchNote: Cards & Gifts _17_4,TouchNote: Cards & Gifts _17_4_41,train,do you have any type of safety guidelines?,"to allow you to participate in interactive features of our Services, when you choose to do so;",Relevant
114143,../../Dataset/Train/com.touchnote.android,TouchNote: Cards & Gifts _17,TouchNote: Cards & Gifts _17_5,TouchNote: Cards & Gifts _17_5_7,train,do you keep the data of mine and upload to your company,"This is information about you that you give us by filling in forms on our Platform or by corresponding with us by phone, e-mail or otherwise.",Relevant
114144,../../Dataset/Train/com.touchnote.android,TouchNote: Cards & Gifts _17,TouchNote: Cards & Gifts _17_5,TouchNote: Cards & Gifts _17_5_8,train,do you keep the data of mine and upload to your company,"It includes information you provide when you register to use our Platform, or use our Services, place an order on our Platform, enter a competition, promotion or survey on the Platform and when you report a problem with our Platform.",Relevant
114145,../../Dataset/Train/com.touchnote.android,TouchNote: Cards & Gifts _17,TouchNote: Cards & Gifts _17_5,TouchNote: Cards & Gifts _17_5_9,train,do you keep the data of mine and upload to your company,"The information you give us may include your name, address, e-mail address and phone number, financial and credit card information.",Relevant
114146,../../Dataset/Train/com.touchnote.android,TouchNote: Cards & Gifts _17,TouchNote: Cards & Gifts _17_5,TouchNote: Cards & Gifts _17_5_10,train,do you keep the data of mine and upload to your company,"In order to take advantage of some of our Services, you may need to supply us with the personal details of a third party (for example, their name and address if you wish to send them some of our products).",Relevant
114147,../../Dataset/Train/com.touchnote.android,TouchNote: Cards & Gifts _17,TouchNote: Cards & Gifts _17_5,TouchNote: Cards & Gifts _17_5_11,train,do you keep the data of mine and upload to your company,We will not use this information for anything other than providing the Service for which the information was supplied.,Relevant
114148,../../Dataset/Train/com.touchnote.android,TouchNote: Cards & Gifts _17,TouchNote: Cards & Gifts _17_5,TouchNote: Cards & Gifts _17_5_12,train,do you keep the data of mine and upload to your company,Information we collect about you.,Relevant
