11,0,1,2,3,4,5,6,7
119881,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_0,TripAdvisor Hotels Flights Restaurants Attractions _18_0_30,train,will you do anything to my phone without my knowledge,"In addition, we may collect information about your location if you have instructed your Device to send such information to the Application via the privacy settings on that Device, or if you have uploaded photos tagged with location information.",Relevant
119882,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_0,TripAdvisor Hotels Flights Restaurants Attractions _18_0_31,train,will you do anything to my phone without my knowledge,We may use the location information collected from your Device or photos to enhance your use of the Application by providing you with relevant content and contextual advertising.,Relevant
119883,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_0,TripAdvisor Hotels Flights Restaurants Attractions _18_0_32,train,will you do anything to my phone without my knowledge,"For example, we may use your location to show you reviews of hotels or restaurants near you when you are traveling.",Relevant
119884,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_0,TripAdvisor Hotels Flights Restaurants Attractions _18_0_33,train,will you do anything to my phone without my knowledge,"You can change the privacy settings of your Device at any time, in order to turn off the functionality to share location information with the Application and/or the functionality to tag your photos with location information.",Relevant
119885,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_0,TripAdvisor Hotels Flights Restaurants Attractions _18_0_34,train,will you do anything to my phone without my knowledge,Please note that turning off location sharing may affect certain features of our App.,Relevant
119899,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_0,TripAdvisor Hotels Flights Restaurants Attractions _18_0_48,train,will you do anything to my phone without my knowledge,"Our sites also may use Web beacons (also known as clear gifs, pixel tags or Web bugs), which are tiny graphics with a unique identifier, similar in function to cookies, that are placed in the code of a Web page.",Relevant
119900,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_0,TripAdvisor Hotels Flights Restaurants Attractions _18_0_49,train,will you do anything to my phone without my knowledge,"We use Web beacons to monitor the traffic patterns of users from one page within our sites to another, to deliver or communicate with cookies, to understand whether you have come to our site from an online advertisement displayed on a third-party website, and to improve site performance.",Relevant
119901,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_0,TripAdvisor Hotels Flights Restaurants Attractions _18_0_50,train,will you do anything to my phone without my knowledge,We also may allow our service providers to use Web beacons to help us understand which emails have been opened by recipients and to track the visitor traffic and actions on our site.,Relevant
119910,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_0,TripAdvisor Hotels Flights Restaurants Attractions _18_0_59,train,will you do anything to my phone without my knowledge,Many of the advertisements you see on the TripAdvisor family of sites are served by TripAdvisor or its service providers.,Relevant
119911,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_0,TripAdvisor Hotels Flights Restaurants Attractions _18_0_60,train,will you do anything to my phone without my knowledge,But we also allow third parties to collect information about your online activities through cookies and other technologies.,Relevant
119912,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_0,TripAdvisor Hotels Flights Restaurants Attractions _18_0_61,train,will you do anything to my phone without my knowledge,"These third parties include (1) business partners, who collect information when you view or interact with one of their advertisements on our sites, and (2) advertising networks, who collect information about your interests when you view or interact with one of the advertisements they place on many different websites on the Internet.",Relevant
119913,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_0,TripAdvisor Hotels Flights Restaurants Attractions _18_0_62,train,will you do anything to my phone without my knowledge,"The information gathered by these third parties is used to make predictions about your characteristics, interests or preferences and to display advertisements on our sites and across the Internet tailored to your apparent interests.",Relevant
119914,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_0,TripAdvisor Hotels Flights Restaurants Attractions _18_0_63,train,will you do anything to my phone without my knowledge,"Please note that we do not have access to or control over cookies or other technologies these third parties may use to collect information about your interests, and the information practices of these third parties are not covered by this Privacy Policy.",Relevant
119985,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_0,TripAdvisor Hotels Flights Restaurants Attractions _18_0_134,train,will you do anything to my phone without my knowledge,"The Help portion of the toolbar on most browsers will tell you how to prevent your browser from accepting new cookies, how to have the browser notify you when you receive a new cookie, or how to disable cookies altogether.",Relevant
119986,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_0,TripAdvisor Hotels Flights Restaurants Attractions _18_0_135,train,will you do anything to my phone without my knowledge,"Please note that if you refuse to accept cookies from TripAdvisor, you will not be able to access portions of our site.",Relevant
120013,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_1,TripAdvisor Hotels Flights Restaurants Attractions _18_1_0,train,do you keep my browsing history and upload to your database,We receive and store any information you enter on our Website or give us in any other way.,Relevant
120084,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_1,TripAdvisor Hotels Flights Restaurants Attractions _18_1_71,train,do you keep my browsing history and upload to your database,"TripAdvisor uses the information we collect about you for the following general purposes: for registration and to manage your account, including to allow your access to and use of our site; to communicate with you in general, including to provide information about TripAdvisor and invitations from the TripAdvisor community; to enable us to publish your reviews, forum posts, and other content to the TripAdvisor community; to facilitate your booking of travel reservations; to respond to your questions and comments; to measure interest in and improve our products, services, and Website; to notify you about special offers and products or services available from us or our partners that may be of interest to you; to otherwise customize your experience with TripAdvisor, including customizing the ads shown to you; to solicit information from you, including through surveys; to resolve disputes or troubleshoot problems; to prevent potentially prohibited or illegal activities; to enforce our Terms of Use; and as otherwise described to you at the point of collection.",Relevant
120175,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_2,TripAdvisor Hotels Flights Restaurants Attractions _18_2_0,train,do you use my date to modify the app,We receive and store any information you enter on our Website or give us in any other way.,Relevant
120246,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_2,TripAdvisor Hotels Flights Restaurants Attractions _18_2_71,train,do you use my date to modify the app,"TripAdvisor uses the information we collect about you for the following general purposes: for registration and to manage your account, including to allow your access to and use of our site; to communicate with you in general, including to provide information about TripAdvisor and invitations from the TripAdvisor community; to enable us to publish your reviews, forum posts, and other content to the TripAdvisor community; to facilitate your booking of travel reservations; to respond to your questions and comments; to measure interest in and improve our products, services, and Website; to notify you about special offers and products or services available from us or our partners that may be of interest to you; to otherwise customize your experience with TripAdvisor, including customizing the ads shown to you; to solicit information from you, including through surveys; to resolve disputes or troubleshoot problems; to prevent potentially prohibited or illegal activities; to enforce our Terms of Use; and as otherwise described to you at the point of collection.",Relevant
120350,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_3,TripAdvisor Hotels Flights Restaurants Attractions _18_3_13,train,do you sell my data,We have partnered with Facebook to provide personalized content on TripAdvisor for members of Facebook.,Relevant
120351,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_3,TripAdvisor Hotels Flights Restaurants Attractions _18_3_14,train,do you sell my data,"If you are logged into Facebook and TripAdvisor, TripAdvisor will be personalized for you when you visit the Website, even if you are a first-time user of TripAdvisors Website.",Relevant
120352,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_3,TripAdvisor Hotels Flights Restaurants Attractions _18_3_15,train,do you sell my data,"For example, we will show you reviews that your Facebook friends have posted on TripAdvisor and places they have visited.",Relevant
120353,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_3,TripAdvisor Hotels Flights Restaurants Attractions _18_3_16,train,do you sell my data,"In order to provide you with this personalized experience, Facebook provides us with information that you have chosen to make available pursuant to your Facebook privacy settings.",Relevant
120354,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_3,TripAdvisor Hotels Flights Restaurants Attractions _18_3_17,train,do you sell my data,"That information may include your name, profile picture, gender, friend lists and any other information you have chosen to make available.",Relevant
120355,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_3,TripAdvisor Hotels Flights Restaurants Attractions _18_3_18,train,do you sell my data,"If you decide to turn off personalization, you can do so by first logging into Facebook and (1) selecting Edit your profile from the Your TripAdvisor drop-down menu on the Member Profile page and clicking Disconnect in the Facebook Connect status box, or (2) selecting Connected accounts from the Your TripAdvisor drop-down menu on the Member Profile page and clicking Disconnect under Facebook Settings. You can also turn off personalization by editing your app settings on Facebook.",Relevant
120396,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_3,TripAdvisor Hotels Flights Restaurants Attractions _18_3_59,train,do you sell my data,Many of the advertisements you see on the TripAdvisor family of sites are served by TripAdvisor or its service providers.,Relevant
120397,../../Dataset/Train/com.tripadvisor.tripadvisor,TripAdvisor Hotels Flights Restaurants Attractions _18,TripAdvisor Hotels Flights Restaurants Attractions _18_3,TripAdvisor Hotels Flights Restaurants Attractions _18_3_60,train,do you sell my data,But we also allow third parties to collect information about your online activities through cookies and other technologies.,Relevant
