11,0,1,2,3,4,5,6,7
135340,../../Dataset/Train/com.usps,USPS MOBILE _20,USPS MOBILE _20_5,USPS MOBILE _20_5_14,train,are you selling my address to anyone?,"We do not disclose your information to third parties without your consent, except to facilitate the transaction, to act on your behalf or request, or as legally required.",Relevant
135341,../../Dataset/Train/com.usps,USPS MOBILE _20,USPS MOBILE _20_5,USPS MOBILE _20_5_15,train,are you selling my address to anyone?,"This includes the following limited circumstances: to a congressional office on your behalf; to financial entities regarding financial transaction issues; to a USPS auditor; to entities, including law enforcement, as required by law or in legal proceedings; to domestic and international customs relating to outgoing international mail pursuant to federal law and agreements; and to contractors and other entities aiding us to fulfill the service (service providers).",Relevant
135495,../../Dataset/Train/com.usps,USPS MOBILE _20,USPS MOBILE _20_6,USPS MOBILE _20_6_14,train,will my package data be sold to anyone?,"We do not disclose your information to third parties without your consent, except to facilitate the transaction, to act on your behalf or request, or as legally required.",Relevant
135496,../../Dataset/Train/com.usps,USPS MOBILE _20,USPS MOBILE _20_6,USPS MOBILE _20_6_15,train,will my package data be sold to anyone?,"This includes the following limited circumstances: to a congressional office on your behalf; to financial entities regarding financial transaction issues; to a USPS auditor; to entities, including law enforcement, as required by law or in legal proceedings; to domestic and international customs relating to outgoing international mail pursuant to federal law and agreements; and to contractors and other entities aiding us to fulfill the service (service providers).",Relevant
135650,../../Dataset/Train/com.usps,USPS MOBILE _20,USPS MOBILE _20_7,USPS MOBILE _20_7_14,train,who can see my personal data?,"We do not disclose your information to third parties without your consent, except to facilitate the transaction, to act on your behalf or request, or as legally required.",Relevant
135651,../../Dataset/Train/com.usps,USPS MOBILE _20,USPS MOBILE _20_7,USPS MOBILE _20_7_15,train,who can see my personal data?,"This includes the following limited circumstances: to a congressional office on your behalf; to financial entities regarding financial transaction issues; to a USPS auditor; to entities, including law enforcement, as required by law or in legal proceedings; to domestic and international customs relating to outgoing international mail pursuant to federal law and agreements; and to contractors and other entities aiding us to fulfill the service (service providers).",Relevant
136036,../../Dataset/Train/com.usps,USPS MOBILE _20,USPS MOBILE _20_9,USPS MOBILE _20_9_90,train,can i request that my personal data not be stored?,"If you still have concerns about cookies, you may choose to opt out of their use.",Relevant
136037,../../Dataset/Train/com.usps,USPS MOBILE _20,USPS MOBILE _20_9,USPS MOBILE _20_9_91,train,can i request that my personal data not be stored?,"Ad banner cookies  You can opt out of ad banner cookies, without erasing or altering other cookies.",Relevant
136041,../../Dataset/Train/com.usps,USPS MOBILE _20,USPS MOBILE _20_9,USPS MOBILE _20_9_95,train,can i request that my personal data not be stored?,Opting out of all cookies  You may choose to opt out of the use of all cookies.,Relevant
136043,../../Dataset/Train/com.usps,USPS MOBILE _20,USPS MOBILE _20_9,USPS MOBILE _20_9_97,train,can i request that my personal data not be stored?,"However, certain features may not work as well or may be unavailable to you.",Relevant
