11,0,1,2,3,4,5,6,7
142312,../../Dataset/Train/com.washingtonpost.android,The Washington Post Classic _21,The Washington Post Classic _21_0,The Washington Post Classic _21_0_11,train,do people know if i disable the breaking news alerts?,"Most browsers accept cookies automatically, but can be configured not to do so or to notify the user when a cookie is being sent.",Relevant
142317,../../Dataset/Train/com.washingtonpost.android,The Washington Post Classic _21,The Washington Post Classic _21_0,The Washington Post Classic _21_0_16,train,do people know if i disable the breaking news alerts?,"Beacons can be embedded in online content, videos, and emails, and can allow a server to read certain types of information from your device, know when you have viewed particular content or a particular email message, determine the time and date on which you viewed the beacon, and the IP address of your device.",Relevant
142448,../../Dataset/Train/com.washingtonpost.android,The Washington Post Classic _21,The Washington Post Classic _21_1,The Washington Post Classic _21_1_1,train,is my reading history shared?,"We and third parties that provide content, advertising, or functionality or measure and analyze ad performance on our Services, may use cookies, web beacons, mobile ad identifiers, and similar technologies to facilitate administration and navigation on the Site, to better understand and improve our Services, to determine and/or improve the advertising shown to you here or elsewhere, and to provide you with a customized online experience.",Relevant
142458,../../Dataset/Train/com.washingtonpost.android,The Washington Post Classic _21,The Washington Post Classic _21_1,The Washington Post Classic _21_1_11,train,is my reading history shared?,"Most browsers accept cookies automatically, but can be configured not to do so or to notify the user when a cookie is being sent.",Relevant
142478,../../Dataset/Train/com.washingtonpost.android,The Washington Post Classic _21,The Washington Post Classic _21_1,The Washington Post Classic _21_1_31,train,is my reading history shared?,"You may choose whether to receive some forms of targeted advertising from many ad networks, audience segment providers, ad serving vendors, and other service providers by visiting websites operated by the Network Advertising Initiative and Digital Advertising Alliance .",Relevant
142479,../../Dataset/Train/com.washingtonpost.android,The Washington Post Classic _21,The Washington Post Classic _21_1,The Washington Post Classic _21_1_32,train,is my reading history shared?,Please see the Online Tracking and Advertising section and visit our Ad Choices pages for further information about how to disable cookies and other choices that may be available to you with respect to certain types of targeted advertising.,Relevant
142482,../../Dataset/Train/com.washingtonpost.android,The Washington Post Classic _21,The Washington Post Classic _21_1,The Washington Post Classic _21_1_35,train,is my reading history shared?, Information You Provide to Us.,Relevant
142484,../../Dataset/Train/com.washingtonpost.android,The Washington Post Classic _21,The Washington Post Classic _21_1,The Washington Post Classic _21_1_37,train,is my reading history shared?,"For example, during account registration, we may ask for information such as your name, e-mail address, year of birth, gender, street address, job title and industry and related information.",Relevant
142488,../../Dataset/Train/com.washingtonpost.android,The Washington Post Classic _21,The Washington Post Classic _21_1,The Washington Post Classic _21_1_41,train,is my reading history shared?,Please review our Discussion and Submission Guidelines for more information about our practices applicable to content that you submit to certain areas of our Services.,Relevant
142594,../../Dataset/Train/com.washingtonpost.android,The Washington Post Classic _21,The Washington Post Classic _21_2,The Washington Post Classic _21_2_1,train,can i browse the articles privately?,"We and third parties that provide content, advertising, or functionality or measure and analyze ad performance on our Services, may use cookies, web beacons, mobile ad identifiers, and similar technologies to facilitate administration and navigation on the Site, to better understand and improve our Services, to determine and/or improve the advertising shown to you here or elsewhere, and to provide you with a customized online experience.",Relevant
142601,../../Dataset/Train/com.washingtonpost.android,The Washington Post Classic _21,The Washington Post Classic _21_2,The Washington Post Classic _21_2_8,train,can i browse the articles privately?,Cookies can help us and third parties understand which parts of our Services are the most popular because they help us see which pages and features visitors access and how much time they spend on the pages.,Relevant
142602,../../Dataset/Train/com.washingtonpost.android,The Washington Post Classic _21,The Washington Post Classic _21_2,The Washington Post Classic _21_2_9,train,can i browse the articles privately?,"By studying this kind of information, we are better able to adapt our Services and provide you with a better experience.",Relevant
142603,../../Dataset/Train/com.washingtonpost.android,The Washington Post Classic _21,The Washington Post Classic _21_2,The Washington Post Classic _21_2_10,train,can i browse the articles privately?, Cookies help us and third parties understand which ads you have seen so that you dont receive the same ad each time you access a Service.,Relevant
142604,../../Dataset/Train/com.washingtonpost.android,The Washington Post Classic _21,The Washington Post Classic _21_2,The Washington Post Classic _21_2_11,train,can i browse the articles privately?,"Most browsers accept cookies automatically, but can be configured not to do so or to notify the user when a cookie is being sent.",Relevant
142747,../../Dataset/Train/com.washingtonpost.android,The Washington Post Classic _21,The Washington Post Classic _21_3,The Washington Post Classic _21_3_8,train,is my past read articles saved in a history?,Cookies can help us and third parties understand which parts of our Services are the most popular because they help us see which pages and features visitors access and how much time they spend on the pages.,Relevant
142748,../../Dataset/Train/com.washingtonpost.android,The Washington Post Classic _21,The Washington Post Classic _21_3,The Washington Post Classic _21_3_9,train,is my past read articles saved in a history?,"By studying this kind of information, we are better able to adapt our Services and provide you with a better experience.",Relevant
142750,../../Dataset/Train/com.washingtonpost.android,The Washington Post Classic _21,The Washington Post Classic _21_3,The Washington Post Classic _21_3_11,train,is my past read articles saved in a history?,"Most browsers accept cookies automatically, but can be configured not to do so or to notify the user when a cookie is being sent.",Relevant
143346,../../Dataset/Train/com.washingtonpost.android,The Washington Post Classic _21,The Washington Post Classic _21_7,The Washington Post Classic _21_7_23,train,"as a free service, what type of ads are used within the app","For HTML5 local storage, the method for disabling HTML5 will vary depending on your browser.",Relevant
143405,../../Dataset/Train/com.washingtonpost.android,The Washington Post Classic _21,The Washington Post Classic _21_7,The Washington Post Classic _21_7_82,train,"as a free service, what type of ads are used within the app","We also may share your information, including your payment information, as appropriate to process your payments for the Services or complete a transaction.",Relevant
143428,../../Dataset/Train/com.washingtonpost.android,The Washington Post Classic _21,The Washington Post Classic _21_7,The Washington Post Classic _21_7_105,train,"as a free service, what type of ads are used within the app", Your California Privacy Rights.,Relevant
